id,date,deadline_date,title,category,phase,awarded_value_in_euros,tender_country
35859,2021-09-19,2021-10-04,Belterületi Önkormányzati utak fejlesztése II.,constructions,Contracting and performance phase,40765.61,Hungary
35568,2021-09-01,2021-10-08,Siemens YSIO rtg ber.-hez vez nélk detektor csere,supplies,Contracting and performance phase,54213.89,Hungary
34497,2021-09-23,2021-10-05,Személygépjárművek és gépjármű karbantartás,supplies,Contracting and performance phase,136144.60,Hungary
33833,2021-08-26,2021-09-08,Szennyvízszivattyú beszerzése II,supplies,Contracting and performance phase,141881.94,Hungary
33180,2021-08-01,2021-08-13,VÍZI- ÉS HORGÁSZTURIZMUS FEJLESZTÉSE - eszközök 2,supplies,Contracting and performance phase,57809.58,Hungary
33091,2021-07-28,2021-09-24,Piaccsarnok építése Szentesen,constructions,Contracting and performance phase,489876.81,Hungary
32723,2021-07-18,2021-07-30,Lakosság közéleti tájékoztatása Bp XIX. kerületben,services,Contracting and performance phase,45530.52,Hungary
32347,2021-07-01,2021-09-17,Csarnok és hozzá kapcsolódó fejépület építése,constructions,Contracting and performance phase,1696752.37,Hungary
31450,2021-05-31,2021-06-17,Pályaorientációs továbbképzés,services,Contracting and performance phase,218253.45,Hungary
31014,2021-05-12,2021-06-28,KEHOP-4.1.0-15-2016-00013 Bormászi tel. t. (2rész),constructions,Contracting and performance phase,2305266.92,Hungary
23241,2020-07-15,2020-08-19,Etikus porta felújítása,constructions,Contracting and performance phase,142271.47,Hungary
35811,2021-09-01,2021-09-20,Bősárkányi óvoda és könyvtár fejlesztése,constructions,Contracting and performance phase,311731.07,Hungary
35801,2021-07-26,2021-08-16,Földtani veszélyforrásból eredő kár helyreállítás2,constructions,Contracting and performance phase,828358.42,Hungary
35778,2021-09-22,2021-10-06,MFP-UHK/2021. BELTERÜLETI UTAK FELÚJÍTÁSA,constructions,Contracting and performance phase,62479.18,Hungary
35776,2021-09-27,2021-10-08,Budapest X. kerület Gém utca felújítása,constructions,Contracting and performance phase,334751.40,Hungary
35521,2021-09-27,2021-10-11,Táncsics Mihály utca útburkolat felújítása,constructions,Contracting and performance phase,114293.76,Hungary
35219,2021-10-04,2021-10-15,"Paks, Táncsics u. út-és járdafelújítás",constructions,Contracting and performance phase,342391.19,Hungary
33022,2021-07-26,2021-08-09,Microsoft Licence megújítás,supplies,Contracting and performance phase,126019.58,Hungary
29775,2021-04-06,2021-04-28,„Multifunkcionális sportkomplexum építése (1442)”,constructions,Contracting and performance phase,1644161.31,Hungary
